央卫视地方频道,#genre#
浙江钱江都市,http://192.168.1.211:4022/udp/233.50.201.132:5140
浙江经济生活,http://192.168.1.211:4022/udp/233.50.201.133:5140
浙江公共新闻,http://192.168.1.211:4022/udp/233.50.201.137:5140
浙江民生休闲,http://192.168.1.211:4022/udp/233.50.201.136:5140
浙江教科影视,http://192.168.1.211:4022/udp/233.50.201.134:5140
浙江少儿,http://192.168.1.211:4022/udp/233.50.201.138:5140
杭州综合,http://192.168.1.211:4022/udp/233.50.201.173:5140
西湖明珠,http://192.168.1.211:4022/udp/233.50.201.174:5140
杭州生活,http://192.168.1.211:4022/udp/233.50.201.175:5140
杭州影视,http://192.168.1.211:4022/udp/233.50.201.176:5140
杭州导视,http://192.168.1.211:4022/udp/233.50.201.182:5140
青少体育,http://192.168.1.211:4022/udp/233.50.201.177:5140
绍兴新闻,http://192.168.1.211:4022/udp/233.50.201.156:5140
温州新闻,http://192.168.1.211:4022/udp/233.50.201.87:5140
湖州新闻,http://192.168.1.211:4022/udp/233.50.201.158:5140
金华新闻,http://192.168.1.211:4022/udp/233.50.201.161:5140
衢州新闻,http://192.168.1.211:4022/udp/233.50.202.11:5140
衢州公共,http://192.168.1.211:4022/udp/233.50.202.12:5140
宁波综合,http://192.168.1.211:4022/udp/233.50.201.168:5140
宁波生活,http://192.168.1.211:4022/udp/233.50.201.178:5140
宁波都市,http://192.168.1.211:4022/udp/233.50.201.179:5140
宁波影视,http://192.168.1.211:4022/udp/233.50.201.180:5140
宁波少体,http://192.168.1.211:4022/udp/233.50.201.181:5140
嘉兴新闻,http://192.168.1.211:4022/udp/233.50.201.163:5140
桐乡新闻,http://192.168.1.211:4022/udp/233.50.201.169:5140
湖州新闻,http://192.168.1.211:4022/udp/233.50.201.158:5140
丽水新闻,http://192.168.1.211:4022/udp/233.50.201.162:5140
YMG新闻,http://192.168.1.211:4022/udp/233.50.201.159:5140
浙江公共新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科影视,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生休闲,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济生活,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
萧山综合频道,http://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8
象山电视台新闻综合频道,http://l.cztvcloud.com/channels/lantian/SXxiangshan1/720p.m3u8
温州文成新闻频道,http://l.cztvcloud.com/channels/lantian/SXwencheng1/720p.m3u8
绍兴文化影视频道,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
绍兴电视台公共频道,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8
绍兴新闻综合频道,http://live.shaoxing.com.cn/video/s10001-sxtv1/index.m3u8
上虞新闻综合频道,http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8
上虞新商都频道,http://l.cztvcloud.com/channels/lantian/SXshangyu3/720p.m3u8
兰溪新闻综合频道,http://l.cztvcloud.com/channels/lantian/SXlanxi1/720p.m3u8
龙游生活娱乐频道,https://l.cztvcloud.com/channels/lantian/SXlongyou2/720p.m3u8
